"DATE","TIME PERIOD","Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT)"
"2021-02-23","23 Feb 2021","41730"
"2021-02-24","24 Feb 2021","41110"
"2021-02-25","25 Feb 2021","42027"
"2021-02-26","26 Feb 2021","39693"
"2021-03-01","01 Mar 2021","47751"
"2021-03-02","02 Mar 2021","47310"
"2021-03-03","03 Mar 2021","49099"
"2021-03-04","04 Mar 2021","46676"
"2021-03-05","05 Mar 2021","42671"
"2021-03-08","08 Mar 2021","39690"
"2021-03-09","09 Mar 2021","33966"
"2021-03-10","10 Mar 2021","45218"
"2021-03-11","11 Mar 2021","46913"
"2021-03-12","12 Mar 2021","43926"
"2021-03-15","15 Mar 2021","46886"
"2021-03-16","16 Mar 2021","48940"
"2021-03-17","17 Mar 2021","40172"
"2021-03-18","18 Mar 2021","43553"
"2021-03-19","19 Mar 2021","40784"
"2021-03-22","22 Mar 2021","41907"
"2021-03-23","23 Mar 2021","41134"
"2021-03-24","24 Mar 2021","40413"
"2021-03-25","25 Mar 2021","38243"
"2021-03-26","26 Mar 2021","40218"
"2021-03-29","29 Mar 2021","38771"
"2021-03-30","30 Mar 2021","40088"
"2021-03-31","31 Mar 2021","45134"
"2021-04-01","01 Apr 2021","43396"
"2021-04-06","06 Apr 2021","51214"
"2021-04-07","07 Apr 2021","53951"
"2021-04-08","08 Apr 2021","53462"
"2021-04-09","09 Apr 2021","52686"
"2021-04-12","12 Apr 2021","49545"
"2021-04-13","13 Apr 2021","42773"
"2021-04-14","14 Apr 2021","41489"
"2021-04-15","15 Apr 2021","47286"
"2021-04-16","16 Apr 2021","43952"
"2021-04-19","19 Apr 2021","47050"
"2021-04-20","20 Apr 2021","47180"
"2021-04-21","21 Apr 2021","47627"
"2021-04-22","22 Apr 2021","47511"
"2021-04-23","23 Apr 2021","48082"
"2021-04-26","26 Apr 2021","47961"
"2021-04-27","27 Apr 2021","51682"
"2021-04-28","28 Apr 2021","45374"
"2021-04-29","29 Apr 2021","43603"
"2021-04-30","30 Apr 2021","33962"
"2021-05-03","03 May 2021","38184"
"2021-05-04","04 May 2021","44829"
"2021-05-05","05 May 2021","47399"
"2021-05-06","06 May 2021","47780"
"2021-05-07","07 May 2021","46775"
"2021-05-10","10 May 2021","47499"
"2021-05-11","11 May 2021","45691"
"2021-05-12","12 May 2021","36495"
"2021-05-13","13 May 2021","35708"
"2021-05-14","14 May 2021","41322"
"2021-05-17","17 May 2021","43036"
"2021-05-18","18 May 2021","45226"
"2021-05-19","19 May 2021","45375"
"2021-05-20","20 May 2021","45516"
"2021-05-21","21 May 2021","35085"
"2021-05-24","24 May 2021","35059"
"2021-05-25","25 May 2021","44876"
"2021-05-26","26 May 2021","46159"
"2021-05-27","27 May 2021","45435"
"2021-05-28","28 May 2021","38000"
"2021-05-31","31 May 2021","37631"
"2021-06-01","01 Jun 2021","49004"
"2021-06-02","02 Jun 2021","42552"
"2021-06-03","03 Jun 2021","43233"
"2021-06-04","04 Jun 2021","47087"
"2021-06-07","07 Jun 2021","46150"
"2021-06-08","08 Jun 2021","43660"
"2021-06-09","09 Jun 2021","43666"
"2021-06-10","10 Jun 2021","40680"
"2021-06-11","11 Jun 2021","45334"
"2021-06-14","14 Jun 2021","45066"
"2021-06-15","15 Jun 2021","50091"
"2021-06-16","16 Jun 2021","43971"
"2021-06-17","17 Jun 2021","42415"
"2021-06-18","18 Jun 2021","41618"
"2021-06-21","21 Jun 2021","43721"
"2021-06-22","22 Jun 2021","41014"
"2021-06-23","23 Jun 2021","40523"
"2021-06-24","24 Jun 2021","40796"
"2021-06-25","25 Jun 2021","40811"
"2021-06-28","28 Jun 2021","41677"
"2021-06-29","29 Jun 2021","37503"
"2021-06-30","30 Jun 2021","34473"
"2021-07-01","01 Jul 2021","43218"
"2021-07-02","02 Jul 2021","46025"
"2021-07-05","05 Jul 2021","51933"
"2021-07-06","06 Jul 2021","46373"
"2021-07-07","07 Jul 2021","48092"
"2021-07-08","08 Jul 2021","50011"
"2021-07-09","09 Jul 2021","52139"
"2021-07-12","12 Jul 2021","42542"
"2021-07-13","13 Jul 2021","47559"
"2021-07-14","14 Jul 2021","47230"
"2021-07-15","15 Jul 2021","49676"
"2021-07-16","16 Jul 2021","50450"
"2021-07-19","19 Jul 2021","50509"
"2021-07-20","20 Jul 2021","49967"
"2021-07-21","21 Jul 2021","52586"
"2021-07-22","22 Jul 2021","40605"
"2021-07-23","23 Jul 2021","50208"
"2021-07-26","26 Jul 2021","49755"
"2021-07-27","27 Jul 2021","54696"
"2021-07-28","28 Jul 2021","50519"
"2021-07-29","29 Jul 2021","47964"
"2021-07-30","30 Jul 2021","43874"
"2021-08-02","02 Aug 2021","44914"
"2021-08-03","03 Aug 2021","53388"
"2021-08-04","04 Aug 2021","54069"
"2021-08-05","05 Aug 2021","47580"
"2021-08-06","06 Aug 2021","55680"
"2021-08-09","09 Aug 2021","51272"
"2021-08-10","10 Aug 2021","51988"
"2021-08-11","11 Aug 2021","50480"
"2021-08-12","12 Aug 2021","51208"
"2021-08-13","13 Aug 2021","49636"
"2021-08-16","16 Aug 2021","49862"
"2021-08-17","17 Aug 2021","51196"
"2021-08-18","18 Aug 2021","51169"
"2021-08-19","19 Aug 2021","49694"
"2021-08-20","20 Aug 2021","48770"
"2021-08-23","23 Aug 2021","48214"
"2021-08-24","24 Aug 2021","45630"
"2021-08-25","25 Aug 2021","40667"
"2021-08-26","26 Aug 2021","43115"
"2021-08-27","27 Aug 2021","39125"
"2021-08-30","30 Aug 2021","40393"
"2021-08-31","31 Aug 2021","46830"
"2021-09-01","01 Sep 2021","47799"
"2021-09-02","02 Sep 2021","47228"
"2021-09-03","03 Sep 2021","46009"
"2021-09-06","06 Sep 2021","48588"
"2021-09-07","07 Sep 2021","51173"
"2021-09-08","08 Sep 2021","50012"
"2021-09-09","09 Sep 2021","50201"
"2021-09-10","10 Sep 2021","50435"
"2021-09-13","13 Sep 2021","52439"
"2021-09-14","14 Sep 2021","50608"
"2021-09-15","15 Sep 2021","49011"
"2021-09-16","16 Sep 2021","41040"
"2021-09-17","17 Sep 2021","48899"
"2021-09-20","20 Sep 2021","40441"
"2021-09-21","21 Sep 2021","43817"
"2021-09-22","22 Sep 2021","40309"
"2021-09-23","23 Sep 2021","45692"
"2021-09-24","24 Sep 2021","44105"
"2021-09-27","27 Sep 2021","42149"
"2021-09-28","28 Sep 2021","45320"
"2021-09-29","29 Sep 2021","42694"
"2021-09-30","30 Sep 2021","44503"
"2021-10-01","01 Oct 2021","44137"
"2021-10-04","04 Oct 2021","49035"
"2021-10-05","05 Oct 2021","49171"
"2021-10-06","06 Oct 2021","47637"
"2021-10-07","07 Oct 2021","47598"
"2021-10-08","08 Oct 2021","53048"
"2021-10-11","11 Oct 2021","49032"
"2021-10-12","12 Oct 2021","51461"
"2021-10-13","13 Oct 2021","51383"
"2021-10-14","14 Oct 2021","51894"
"2021-10-15","15 Oct 2021","55452"
"2021-10-18","18 Oct 2021","52371"
"2021-10-19","19 Oct 2021","50367"
"2021-10-20","20 Oct 2021","48089"
"2021-10-21","21 Oct 2021","49298"
"2021-10-22","22 Oct 2021","50668"
"2021-10-25","25 Oct 2021","54376"
"2021-10-26","26 Oct 2021","52184"
"2021-10-27","27 Oct 2021","51795"
"2021-10-28","28 Oct 2021","52440"
"2021-10-29","29 Oct 2021","43411"
"2021-11-01","01 Nov 2021","51915"
"2021-11-02","02 Nov 2021","61435"
"2021-11-03","03 Nov 2021","57799"
"2021-11-04","04 Nov 2021","56563"
"2021-11-05","05 Nov 2021","57861"
"2021-11-08","08 Nov 2021","58809"
"2021-11-09","09 Nov 2021","58786"
"2021-11-10","10 Nov 2021","52346"
"2021-11-11","11 Nov 2021","51698"
"2021-11-12","12 Nov 2021","51705"
"2021-11-15","15 Nov 2021","52188"
"2021-11-16","16 Nov 2021","54626"
"2021-11-17","17 Nov 2021","51193"
"2021-11-18","18 Nov 2021","51693"
"2021-11-19","19 Nov 2021","52996"
"2021-11-22","22 Nov 2021","55515"
"2021-11-23","23 Nov 2021","51820"
"2021-11-24","24 Nov 2021","50814"
"2021-11-25","25 Nov 2021","48079"
"2021-11-26","26 Nov 2021","47414"
"2021-11-29","29 Nov 2021","50121"
"2021-11-30","30 Nov 2021","49024"
"2021-12-01","01 Dec 2021","57156"
"2021-12-02","02 Dec 2021","58888"
"2021-12-03","03 Dec 2021","56585"
"2021-12-06","06 Dec 2021","55956"
"2021-12-07","07 Dec 2021","53373"
"2021-12-08","08 Dec 2021","52044"
"2021-12-09","09 Dec 2021","48196"
"2021-12-10","10 Dec 2021","47274"
"2021-12-13","13 Dec 2021","45877"
"2021-12-14","14 Dec 2021","46144"
"2021-12-15","15 Dec 2021","41887"
"2021-12-16","16 Dec 2021","43249"
"2021-12-17","17 Dec 2021","44473"
"2021-12-20","20 Dec 2021","38584"
"2021-12-21","21 Dec 2021","40889"
"2021-12-22","22 Dec 2021","34591"
"2021-12-23","23 Dec 2021","28739"
"2021-12-24","24 Dec 2021","20979"
"2021-12-27","27 Dec 2021","28533"
"2021-12-28","28 Dec 2021","29069"
"2021-12-29","29 Dec 2021","41073"
"2021-12-30","30 Dec 2021","34922"
"2021-12-31","31 Dec 2021","13648"
"2022-01-03","03 Jan 2022","34989"
"2022-01-04","04 Jan 2022","54350"
"2022-01-05","05 Jan 2022","47707"
"2022-01-06","06 Jan 2022","52354"
"2022-01-07","07 Jan 2022","53850"
"2022-01-10","10 Jan 2022","56568"
"2022-01-11","11 Jan 2022","58208"
"2022-01-12","12 Jan 2022","53460"
"2022-01-13","13 Jan 2022","55734"
"2022-01-14","14 Jan 2022","58192"
"2022-01-17","17 Jan 2022","61387"
"2022-01-18","18 Jan 2022","57391"
"2022-01-19","19 Jan 2022","59057"
"2022-01-20","20 Jan 2022","59181"
"2022-01-21","21 Jan 2022","60385"
"2022-01-24","24 Jan 2022","56792"
"2022-01-25","25 Jan 2022","55916"
"2022-01-26","26 Jan 2022","53985"
"2022-01-27","27 Jan 2022","49701"
"2022-01-28","28 Jan 2022","49577"
"2022-01-31","31 Jan 2022","51251"
"2022-02-01","01 Feb 2022","61839"
"2022-02-02","02 Feb 2022","59971"
"2022-02-03","03 Feb 2022","57713"
"2022-02-04","04 Feb 2022","59809"
"2022-02-07","07 Feb 2022","59909"
"2022-02-08","08 Feb 2022","64910"
"2022-02-09","09 Feb 2022","59604"
"2022-02-10","10 Feb 2022","57260"
"2022-02-11","11 Feb 2022","57333"
"2022-02-14","14 Feb 2022","58941"
"2022-02-15","15 Feb 2022","56535"
"2022-02-16","16 Feb 2022","55371"
"2022-02-17","17 Feb 2022","56707"
"2022-02-18","18 Feb 2022","56196"
"2022-02-21","21 Feb 2022","56931"
"2022-02-22","22 Feb 2022","55856"
"2022-02-23","23 Feb 2022","52700"
"2022-02-24","24 Feb 2022","51865"
"2022-02-25","25 Feb 2022","51503"
"2022-02-28","28 Feb 2022","49166"
"2022-03-01","01 Mar 2022","60449"
"2022-03-02","02 Mar 2022","58868"
"2022-03-03","03 Mar 2022","58643"
"2022-03-04","04 Mar 2022","57620"
"2022-03-07","07 Mar 2022","63220"
"2022-03-08","08 Mar 2022","62845"
"2022-03-09","09 Mar 2022","60292"
"2022-03-10","10 Mar 2022","57504"
"2022-03-11","11 Mar 2022","55136"
